Task,Answer,a,b,c,d,comment,topic,level,tags,deck
Choose the sentence with the right word order,4,They not are walking in the park.,They are walking in the park not.,Not they are walking in the park.,They are not walking in the park.,To make a negative sentence in the Present Continuous Tense we put the subject and the auxiliary verb 'are' in the first place. The negative particle 'not' is always after  the auxiliary verb.,word order,1, 361 ,1200 Grammer Tests
My nephew plays _ piano very well.,3,a,an,the,—,The is used before names of musical instruments.,articles,1, 362 ,1200 Grammer Tests
Simon is very busy. He _________ (to take) a rest very seldom.,1,takes,is taking,has taken,take,"When we talk about things in general, permanent situations and states or things that happen sometimes, we always use the Present Simple Tense: [I/you/we/they/ + Verb] and [he/she/it + Verb+ -s(es)]",present tenses,1, 363 ,1200 Grammer Tests
Bill ________________ (to play) football at 10 o'clock yesterday.,1,was playing,played,had played,had been playing,We use the Past Continuous Tense when we talk about an action which was in progress at a certain time in the past and if we don't mention when it was started or finished.,past tenses,1, 364 ,1200 Grammer Tests
I have won the lottery. I ____________ (to donate) the prize to charity. I had decided to do that before.,1,am going to donate,will donate,donate,will have donated,"We use ‘be going to’ when we have already made a plan or an arrangement, or we have intentions: I am going to fly to Vienna tomorrow.; They are going to Montenegro on holidays in August.",future tenses,1, 365 ,1200 Grammer Tests
"""Opera """"Rigoletto"""" ________________ (to compose) by Giuseppe Verdi in 1851.""",1,was composed,is composed,composed,compose,"Sometimes we need to change a sentence from the Active Voice into the Passive Voice. We can also know a person who carries out the action. In this case we use the Passive Voice and form a sentence according to this rule:  Subject - Be+ Past Participle - Preposition 'BY' - Agent (who or what carries out the action). In this sentence the action took place at a certain time in the past, so we use the Past Simple Passive.",passive voice,1, 366 ,1200 Grammer Tests
"He is a good sportsman, but he ______________ stop smoking.",4,may,can,might,should,We use the modal verb 'should' when we give advice or recommend something.,modal verbs,1, 367 ,1200 Grammer Tests
I think it's important  ___________ (to stay in good relationships) with your colleagues.,3,to hold on,to fill in,to keep in,to be after,"Phrasal verbs are verbs that consist of a verb and a particle and/or a preposition. Phrasal verbs are typical of spoken English or informal writing, e.g. letters to friends and articles in popular journalism. They cannot be understood based upon the meanings of the individual parts in isolation, thus, their meanings are unpredictable. The phrasal verb 'to keep in' means 'to stay in good relationships with somebody'.",phrasal verbs,1, 368 ,1200 Grammer Tests
Choose  two forms of the verb 'to see' according to the order: Past Simple - Past Participle,4,seen - saw,seen - seen,saw - saw,saw - seen,TO SEE - SAW - SEEN,irragular verbs,1, 369 ,1200 Grammer Tests
We've bought a boat for _______ .,3,our,we,ourselves,us,When the same person is both the subject and the object in the sentence we use a reflexive pronoun after a verb or a preposition. 'Ourselves' is the right reflexive form of the personal pronoun 'We'.,pronouns,1, 370 ,1200 Grammer Tests
This black dress is _______ than the blue one.,3,the elegantest,eleganter,more elegant,the most elegant,When we compare two things or two people we use the comparative form of adjectives. If we use an adjective with three or more syllables we add 'more' before it.,adjective,1, 371 ,1200 Grammer Tests
Susan plays the piano _________.,4,beautifuly,beautifullest,beautiful,beautifully,"We use adverbs to describe time, degree, manner, etc. In other words adverbs help us get more information about the action or the place (where, when, how, how often, etc.) Many adverbs are formed from adding '-ly' or '-ily' to the adjective.",adverbs,1, 372 ,1200 Grammer Tests
"Tom asked me about Mary, ______ travelled with us last summer.",4,whom,whose,which,who,We use 'who' for people in relative clauses when 'who' is a subject. 'Whose' and 'whom' are used as objects. We use 'which' to refer to animals and objects.,relative clauses,1, 373 ,1200 Grammer Tests
He doesn't have any respect ____ his relatives.,3,to,at,for,on,We should remember that some nouns are used with specific prepositions after them: 'respect for',noun pluse preposition,1, 374 ,1200 Grammer Tests
Kate is always ____ the phone talking about everything in the world.,2,at,on,in,up,It is correct to say 'on the phone',prepositions,1, 375 ,1200 Grammer Tests
Jeremy is very unfriendly ______ Kate.,4,of,on,at,to,"For this sentence we need to choose a preposition after the adjective ‘unfriendly’ that means ‘showing dislike and no sympathy’. We can use three prepositions after the adjective ‘unfriendly’: (1) ‘to’ (The Jacobs have always been very unfriendly to us.), (2) ‘towards’ (Why is she suddenly so unfriendly towards you, Charlie?) and (3) ‘with’ (Why are you so unfriendly with Polina?). Therefore, among the test variants we choose ANSWER 4 (to).",adjective pluse preposition,1, 376 ,1200 Grammer Tests
"""I watched two _______ (a series) of """"Friends"""" yesterday.""",3,seriess,serieses,series,a series,There are some nouns which have the same form in the singular and in the plural: ONE SERIES - TWO SERIES,nouns,1, 377 ,1200 Grammer Tests
There are ________ cats on the bench.,1,many,much,a little,any,Many' is used before countable nouns. 'Much' and 'a little' - before uncountable. We use 'any' in negative sentences.,"some,any, a lot of , many , much ,etc..",1, 378 ,1200 Grammer Tests
If I _______ (to be) an actor I _________ (to choose) roles in action movies.,2,were/chose,were/would choose,would be/would choose,would be/chose,When we speak about imaginary situations which differ from real facts in the present we use Conditional 2: If-clause (if + Past Simple) - Main Clause (would/could + present without 'to'). The meaning of this sentence: in reality I'm not an actor,conditionals,1, 379 ,1200 Grammer Tests
"""Mary: """"I usually leave home at 9 o'clock"""".""",4,Mary said that she would usually leave home at 9 o'clock.,Mary said that she was usually leaving home at 9 o'clock.,Mary said that she had usually left home at 9 o'clock.,Mary said that she usually left home at 9 o'clock.,We change the Present Simple to the Past Simple in Reported Speech.,reported speech,1, 380 ,1200 Grammer Tests
Choose the sentence with the right word order,1,New Zealand is about the same size as Great Britain or Japan.,New Zealand about the same size as Great Britain or Japan is.,About the same size as Great Britain or Japan New Zealand is.,New Zealand about the same size is as Great Britain or Japan.,"There is a certain word order in statements with the Present Simple Tense: Subject - Auxiliary - Object. 'New Zealand' is a subject, 'is' - an auxiliary verb, ' about the same size as Great Britain or Japan' - an object.",word order,1, 381 ,1200 Grammer Tests
He wrote a poem for her. _ poem was beautiful.,3,a,an,the,—,We use 'the' with all kinds of nouns when we talk about definite and specific things. 'The' also goes before nouns mentioned for the second time.,articles,1, 382 ,1200 Grammer Tests
It ______ (to get) colder. Do you really want to go out?,2,get,is getting,is geting,gets,"In this sentence we are talking about temporary situation. Also we know that the action is happening at this certain moment. So, in this case we should always use the Present Continuous Tense. This Tense is formed: am/is/are + Verb-ing. With ing-ending the verb 'get' should be spelled with double 't'.",present tenses,1, 383 ,1200 Grammer Tests
Henry ________ (to talk) to his cousin while his wife was reading a newspaper.,2,talked,was talking,has talked,had talked,We use the Past Continuous Tense when we talk about two or more simultaneous actions in the past.,past tenses,1, 384 ,1200 Grammer Tests
He has to do so much today. He _____________ (to be) tired after work.,4,is,shall be,is going to be,will be,We use the Future Simple Tense when we talk about common actions and facts which will happen in the future.,future tenses,1, 385 ,1200 Grammer Tests
This single _________________ (to release) last month.,1,was released,is released,released,releases,"When we don't know who carries out the action, or it is obvious or unimportant to us, we use the Passive voice. The Passive is formed: BE + Past Participle.  In this sentence the action took place at a certain time in the past, so we use the Past Simple Passive.",passive voice,1, 386 ,1200 Grammer Tests
It's very cold outside. We __________ put on warm clothes.,4,can,could,may,have to,"We use the modal verb 'have to' when it is not our idea to do something, when we are forced to do something by somebody or by circumstances.",modal verbs,1, 387 ,1200 Grammer Tests
I need ___________ (to complete) this project until the end of this month.,2,to keep on,to carry out,to hold on,to find out,"Phrasal verbs are verbs that consist of a verb and a particle and/or a preposition. Phrasal verbs are typical of spoken English or informal writing, e.g. letters to friends and articles in popular journalism. They cannot be understood based upon the meanings of the individual parts in isolation, thus, their meanings are unpredictable. The phrasal verb 'to carry out' means 'to complete something'.",phrasal verbs,1, 388 ,1200 Grammer Tests
Choose  two forms of the verb 'to sing' according to the order: Past Simple - Past Participle,2,sang - sang,sang - sung,sung - sung,sung - sang,TO SING - SANG - SUNG,irragular verbs,1, 389 ,1200 Grammer Tests
Jill didn't answer Martin. She didn't know what to tell ______ .,3,himself,his,him,he,Here the pronoun should be used in its objective form. 'him' is the right form of the personal pronoun 'he'.,pronouns,1, 390 ,1200 Grammer Tests
The service is currently _________ .,4,non-available,imavailable,inavailable,unavailable,We should remember that the adjective 'available' is used with the prefix 'un-',adjective,1, 391 ,1200 Grammer Tests
Nick spoke ________.,3,softy,soft,softly,softest,"We use adverbs to describe time, degree, manner, etc. In other words adverbs help us get more information about the action or the place (where, when, how, how often, etc.) Many adverbs are formed from adding '-ly' or '-ily' to the adjective.",adverbs,1, 392 ,1200 Grammer Tests
"Jack took the pen, _____ was red.",4,whom,whose,who,which,We use 'which' or 'that' for things in relative clauses.  'Whose' and 'whom' are used as objects.,relative clauses,1, 393 ,1200 Grammer Tests
My brother is a great specialist ____ IT.,4,of,on,at,in,We should remember that some nouns are used with specific prepositions after them: 'specialist in',noun pluse preposition,1, 394 ,1200 Grammer Tests
They invited us ____ dinner.,3,at,in,for,on,It is correct to say 'for dinner',prepositions,1, 395 ,1200 Grammer Tests
Who is responsible ______ this mess?,2,of,for,at,in,We should remember that some adjectives are used with specific prepositions after them: 'responsible for',adjective pluse preposition,1, 396 ,1200 Grammer Tests
My grandma has several _________ (a swine) in the village.,3,a swine,swinies,swine,swins,There are some nouns which have the same form in the singular and in the plural: ONE SWINE - TWO SWINE,nouns,1, 397 ,1200 Grammer Tests
We've seen ________ animals in the zoo today.,1,a lot of,much,a little,any,A lot of' is used before uncountable and countable nouns in positive sentences. 'Much' and 'a little' - before uncountable. We use 'any' in negative sentences.,"some,any, a lot of , many , much ,etc..",1, 398 ,1200 Grammer Tests
If you ________ (to drive) so slowly we _______ (to be) late.,4,will drive/will be,drive/are,will drive/are,drive/will be,"When we speak about probable situations in the present or future we use Conditional 1: If-clause (if + Present Simple) - Main Clause (future/modal + present without 'to') or If-clause (if + Present Simple) - Main Clause (future + HAVE TO, OUGHT TO, BE TO + present without 'to').",conditionals,1, 399 ,1200 Grammer Tests
"""Tom: """"Will you go there with me?""""""",2,Tom asked me I would go there with him.,Tom asked me if I would go there with him.,Tom asked me if would I  go there with him.,Tom asked me if I went there with him.,Tom asked me if I would go there with him.' - this is the right word order in Reported Speech for general questions. We add 'if' before a pronoun and then place an auxiliary.,reported speech,1, 400 ,1200 Grammer Tests
Choose the sentence with the right word order,2,You have ever been to London?,Have you ever been to London?,Have you been ever to London?,Have you been to London ever ?,"To make a question in the Present Perfect Tense we put the auxiliary verb 'have' in the first place. Then comes the subject, the adverb, the verb, and the phrase of place. We should always put the adverb between two verbs - auxiliary and the verb in the Past Participle.",word order,1, 401 ,1200 Grammer Tests
We travelled to __ Netherlands last year.,3,a,an,the,—,"No article is used when we refer to a country with a single name (except The Gambia) or with merged single-named states Bosnia and Herzegovina: Japan, Mongolia, Canada, France, Egypt, etc. We use ‘the’ before countries (1) with plural names (the Philippines, the Maldives, the Netherlands); (2) with names containing a noun stating the kind of state (the Republic, the Democratic, the State(s), the Union, the Confederation, the Kingdom, the Commonwealth, the Principality). Therefore, we are to choose ANSWER 3 (the).",articles,1, 402 ,1200 Grammer Tests
I ______________ (to know) Alex since 1999.,3,am knowing,know,have known,have knew,The action in this sentence started in the Past (1999) and continues in the Present. It means that I still know Alex. In this case we should use the Present Perfect Tense:  has/have + Verb (-ed/Past Participle),present tenses,1, 403 ,1200 Grammer Tests
Paul __________ (to read) the first book when he was four years old.,2,was reading,read,had read,was read,We use the Past Simple Tense when we talk about actions which happened at a certain time in the past.,past tenses,1, 404 ,1200 Grammer Tests
Carol ___________ (to be) busy tomorrow.,4,is going to be,is,shall be,will be,We use the Future Simple Tense when we talk about common actions and facts which will happen in the future.,future tenses,1, 405 ,1200 Grammer Tests
The door ____________ (to break) 2 hours ago.,3,breaks,is broken,was broken,broke,"When we don't know who carries out the action, or it is obvious or unimportant to us, we use the Passive voice. The Passive is formed: BE + Past Participle. In this sentence the action took place at a certain time in the past, so we use the Past Simple Passive.",passive voice,1, 406 ,1200 Grammer Tests
I can't hear you at all. ________________ you speak louder?,4,May,Must,Should,Could,We use the modal verb 'could' when we ask somebody to do something.,modal verbs,1, 407 ,1200 Grammer Tests
"Jennifer, could you  ________ (to take care of somebody) my cat for a couple of days?",2,look out,look after,look forward to,look for,"Phrasal verbs are verbs that consist of a verb and a particle and/or a preposition. Phrasal verbs are typical of spoken English or informal writing, e.g. letters to friends and articles in popular journalism. They cannot be understood based upon the meanings of the individual parts in isolation, thus, their meanings are unpredictable. The phrasal verb 'to look after' means 'to take care of somebody'.",phrasal verbs,1, 408 ,1200 Grammer Tests
Choose  two forms of the verb 'to speak' according to the order: Past Simple - Past Participle,3,spoken - spoke,spoken - spoken,spoke - spoken,spoke - spoke,TO SPEAK - SPOKE - SPOKEN,irragular verbs,1, 409 ,1200 Grammer Tests
He went to the shop but he bought ______ .,4,anything,something,everything,nothing,Everything' and 'something' do not relate to the meaning of the sentence. 'Anything' is used in negative sentences. As an alternative we could use 'not anything': 'But he did not buy anything'.,pronouns,1, 410 ,1200 Grammer Tests
Dave took some pictures of wonderful _________ clouds.,3,featherly,feather,feathery,featheric,"The words ‘featherly’ and ‘featheric’ are nonce-words.The adjective ‘feathery’ means ‘soft or delicate, or made of many very small and delicate pieces’: feathery clouds/leaves, feathery blond hair. The synonyms of ‘feathery’ are ‘soft’ and ‘fluffy’.The noun ‘feather’ means ‘one of the many soft, light things that cover a bird’s body, consisting of along, thin, central part with material like hairs along each side’: feather pillows (= containing feathers).In the test sentence ‘Dave took some pictures of wonderful _________ clouds.’ we need to choose the adjective that describes clouds.Thus, we are to choose ANSWER 3 (feathery).",adjective,1, 411 ,1200 Grammer Tests
Sandy was dancing __________.,4,gracefuly,gracefuller,graceful,gracefully,"We use adverbs to describe time, degree, manner, etc. In other words adverbs help us get more information about the action or the place (where, when, how, how often, etc.) Many adverbs are formed from adding '-ly' or '-ily' to the adjective.",adverbs,1, 412 ,1200 Grammer Tests
Michael has bought a suit ______ is black.,2,who,that,whose,whom,We use 'which' or 'that' for things in relative clauses.  'Whose' and 'whom' are used as objects.,relative clauses,1, 413 ,1200 Grammer Tests
Jane has a talent ____ playing the piano.,4,to,in,at,for,We should remember that some nouns are used with specific prepositions after them: 'talent for',noun pluse preposition,1, 414 ,1200 Grammer Tests
Jim and Sandra walked in silence _____ a while.,3,at,on,for,in,It is correct to say 'for a while',prepositions,1, 415 ,1200 Grammer Tests
I'm interested ______ science.,4,at,for,of,in,We should remember that some adjectives are used with specific prepositions after them: 'interested in',adjective pluse preposition,1, 416 ,1200 Grammer Tests
Have you already heard this ________ ?,3,newes,new,news,a new,Some nouns are always plural: SCISSORS/GLASSES/TROUSERS/JEANS/SHORTS/TIGHTS/PYJAMAS/NEWS etc.,nouns,1, 417 ,1200 Grammer Tests
I don't want to take ________ luggage with me.,1,any,many,some,a few,We use 'some' in positive sentences and 'any' in negative ones before countable or uncountable nouns. 'Many' and 'a few' are used before plural countable nouns,"some,any, a lot of , many , much ,etc..",1, 418 ,1200 Grammer Tests
If I ________ (to have) one billion dollars I ________ (to donate) a half to charity.,2,had/donated,had/would donate,would have/would donate,would have/donated,"The second conditional is used to talk about unreal, unlikely, impossible or imaginary things, events or situations. The structure is usually if + past simple (the hypothetical or unlikely part) and would/could/might + infinitive (the possible result of the imaginary situation). As the test answers consist only of ‘had/donated’ and ‘would have/would donate’ variants, the test sentence ‘If I ________ (to have) one billion dollars I ________ (to donate) a half to charity.’ describes an unlikely situation. It means that ‘I don’t have one billion dollars, that is why I can’t donate a half to charity.’ The speaker is still thinking about the future possibility, but it is imaginary – I imagine that I could donate some money to charity, but it is unlikely. In this case the question between the first and the second conditional is often a question of the speaker’s attitude to the situation.As for the test ANSWER, we are to choose ANSWER 2 (had/would donate).",conditionals,1, 419 ,1200 Grammer Tests
"""Stephanie: """"I'm doing my homework now"""".""",3,Stephanie said that she was doing her homework now.,Stephanie said that she had been doing her homework then.,Stephanie said that she was doing her homework then.,Stephanie said that she had been doing her homework now.,We change the Present Continuous to the Past Continuous in Reported Speech. Also we change some time expressions: now - then,reported speech,1, 420 ,1200 Grammer Tests
Choose the sentence with the right word order,1,Bad Bellingen is a nice small town in Germany.,Bad Bellingen is a small nice town in Germany.,In Germany Bad Bellingen is a nice small town.,In Germany Bad Bellingen is a small nice town.,"There is a certain word order in statements with the Present Simple Tense: Subject - Auxiliary - Object. When we need to use many adjectives in one sentence, they should be placed in the following order: Opinion - Size - Age - Shape - Colour - Origin - Material. 'Nice' is an opinion adjective and 'small' refers to size.",word order,1, 421 ,1200 Grammer Tests
I ate _ plum and went out.,1,a,an,the,—,We use the article 'a' with singular countable nouns also to show the quantity - only one.,articles,1, 422 ,1200 Grammer Tests
"I like to watch thrillers, but now I ______ (to watch) a comedy.",2,watch,am watching,watches,has watched,"The adverb 'now' means that the action is happening at this certain moment. So, in this case we should always use the Present Continuous Tense. This Tense is formed: Auxiliary (am/is/are) + Verb-ing.",present tenses,1, 423 ,1200 Grammer Tests
"First of all, we visited the British Museum, then we went to Hyde Park and last we ____________ (to relax) in a restaurant.",2,were relaxing,relaxed,had relaxed,had been relaxing,"We use the past tense to talk about something that happened once in the past - a completed action in a time before now. Duration is not important: Sally watched TV last night.; Did you play tennis at weekends?. It can also be used for actions taking place one after another or in the middle of another action: She entered a cafe, took off her coat, sat down and took the menu.; Roby fell off the tree and her friends took her to a doctor.In the test sentence ‘First of all, we visited the British Museum, then we went to Hyde Park and last we______ (to relax) in a restaurant.’. we need to form the past form of the regular verb ‘relax’. For regular verbs, we add -ed to the base form of the verb (work – worked) or -d if the verb already ends in e (move – moved). Therefore, we are to choose ANSWER 2 (relaxed).",past tenses,1, 424 ,1200 Grammer Tests
"Ok, I’ve decided! I _________ (to go) to the gallery tomorrow.",3,am to go,go,will go,am going,"We use the Future Simple Tense when we talk about common actions and facts which will happen in the future. We can use the Future Simple (will and shall) to express immediate intentions and decisions: Will you come for dinner on Saturday? If we chose ANSWER 3 (will go), it will sound like the speaker’s immediate decision.",future tenses,1, 425 ,1200 Grammer Tests
This work ____________ (to complete) tomorrow.,1,will be completed,is completed,will completed,completes,"When we don't know who carries out the action, or it is obvious or unimportant to us, we use the Passive voice. In this sentence we speak about the action which will be completed in the future: Will Be + Past Participle.",passive voice,1, 426 ,1200 Grammer Tests
Susan is 10 and she ______________ skate yet.,4,hasn't to,may not,couldn't,can't,The modal verb 'can' is used when we speak about the ability in the Present.,modal verbs,1, 427 ,1200 Grammer Tests
Rachel is ___________ (to stay in anticipation) summer holiday.,3,looking after,looking for,looking forward to,looking at,"Phrasal verbs are verbs that consist of a verb and a particle and/or a preposition. Phrasal verbs are typical of spoken English or informal writing, e.g. letters to friends and articles in popular journalism. They cannot be understood based upon the meanings of the individual parts in isolation, thus, their meanings are unpredictable. The phrasal verb 'to look forward to' means 'to stay in anticipation'.",phrasal verbs,1, 428 ,1200 Grammer Tests
Choose  two forms of the verb 'to steal' according to the order: Past Simple - Past Participle,2,stole - stole,stole - stolen,stolen - stolen,stolen - stole,TO STEAL - STOLE - STOLEN,irragular verbs,1, 429 ,1200 Grammer Tests
Nicki left Peter and returned to Seattle. Now she lives by ________ .,4,hers,she,her,herself,By herself' means 'alone'. We cannot use any other form of a pronoun in this phrase.,pronouns,1, 430 ,1200 Grammer Tests
Chris found a ________ ________ _________ (cute/little/grey) kitten.,3,little cute grey,grey little cute,cute little grey,grey cute little,"It is very unusual to have more than three adjectives in front of a noun. But if it is so, the most usual sequence of adjectives is the following: 1. general opinion (good, bad, lovely, strange, nice, important,etc.), 2. specific opinion (a) food: tasty; delicious; (b) furniture, buildings: comfortable; uncomfortable;(c) people, animals: clever; friendly), 3. size (big, tall), 4. physical quality (thin, rough, untidy), 5. shape (round, square), 6. age (old, babyish), 7. colour (green, pastel), 8. origin (Japanese, northern), 9. material(metal, wood, plastic), 10. type (general-purpose, U-shaped, bedroom, four-sided), 11. purpose (folding, swinging, work, racing).Therefore, in the test sentence ‘Chris found a _______ _______ ________ (cute/little/grey) kitten.’ we should choose ANSWER 3: a cute (1. general opinion) little (3. size) grey (7. colour) kitten.",adjective,1, 431 ,1200 Grammer Tests
His team plays football ________.,4,terribler,terriblest,terrible,terribly,"We use adverbs to describe time, degree, manner, etc. In other words adverbs help us get more information about the action or the place (where, when, how, how often, etc.) Many adverbs are formed from adding '-ly' or '-ily' to the adjective.",adverbs,1, 432 ,1200 Grammer Tests
He shook hands with a man _______ is a mayor.,2,which,that,whose,whom,We use 'that' and 'who' for people in relative clauses.  'Whose' and 'whom' are used as objects.,relative clauses,1, 433 ,1200 Grammer Tests
Sarah always puts the blame ____ someone else.,4,to,in,at,on,We should remember that some nouns are used with specific prepositions after them. In the test sentence ‘Sarah always puts the blame ____ someone else.’ we need to choose the preposition that is used after the noun ‘blame’ that means ‘the situation in which people say or think that someone or something did something wrong or is responsible for something bad happening’. We can use three prepositions after the noun ‘blame’: (1) ‘for’ (I always get the blame for his mistakes!); (2) ‘on’ (He stole the money but he’s trying to put the blame on me.); (3) ‘onto’ (It’s no use trying to shift the blame onto other people.). Among the test answers we can choose ANSWER 4: ‘on’.,noun pluse preposition,1, 434 ,1200 Grammer Tests
John is ill. He must stay ____ bed.,4,into,on,at,in,It is correct to say 'in bed',prepositions,1, 435 ,1200 Grammer Tests
I'm not keen ______ yoga.,3,of,at,on,for,We should remember that some adjectives are used with specific prepositions after them: 'keen on',adjective pluse preposition,1, 436 ,1200 Grammer Tests
How many natural _________ (a phenomenon) do you know?,2,phenomenons,phenomena,phenomenon,phenomenas,"There are many nouns which have Greek or Latin origin. As a rule, they keep own endings: A PHENOMENON - TWO PHENOMENA",nouns,1, 437 ,1200 Grammer Tests
"It's too dark, I can't see __________ .",1,anything,something,some,any,"We use the pronoun 'something' to refer to things in affirmative sentences, while 'anything' in negative ones. 'Any' and 'some' are pronouns which don't relate to the meaning of the sentence.","some,any, a lot of , many , much ,etc..",1, 438 ,1200 Grammer Tests
If Mike _________ (to return) early we ________ (to have) dinner with him.,4,will return/have,returns/have,will return/will have,returns/will have,"When we speak about probable situations in the present or future we use Conditional 1: If-clause (if + Present Simple) - Main Clause (future/modal + present without 'to') or If-clause (if + Present Simple) - Main Clause (future + HAVE TO, OUGHT TO, BE TO + present without 'to').",conditionals,1, 439 ,1200 Grammer Tests
"""Carla: """"I've forgotten my e-mail password"""".""",3,Carla said that she has forgotten her e-mail password.,Carla said that she forgot her e-mail password.,Carla said that she had forgotten her e-mail password.,Carla said that she had been forgetting her e-mail password.,We change the Present Perfect to the Past Perfect in Reported Speech.,reported speech,1, 440 ,1200 Grammer Tests
Choose the sentence with the right word order,1,The Olympics take place every four years.,Every four years take place the Olympics.,The Olympics take every four years place.,Take place the Olympics every four years.,There is a certain word order in statements: Subject - Predicate - Object. The phrase 'take place' shouldn't be divided.,word order,1, 441 ,1200 Grammer Tests
Can you show me _ Volga on the map?,3,a,an,the,—,The is used before names of rivers.,articles,1, 442 ,1200 Grammer Tests
Bill and Richard _________ (to be) friends for many ages.,3,are,are being,have been,are been,The action in this sentence started in the Past and continues in the Present. It means that Bill and Richard are still friends. In this case we should use the Present Perfect Tense:  has/have + Verb (-ed/Irregular),present tenses,1, 443 ,1200 Grammer Tests
David Beckham _____________ (to play) for Manchester United from 1993 to 2003.,1,played,was playing,has played,had played,"Past simple is used to talk about finished actions and time. And in the test sentence ‘David Beckham ________ (to play) for Manchester United from 1993 to 2003.’ we are given the time-marker ‘from… to’ that we use to say when a past situation started and finished. Therefore, we are to choose ANSWER 1 (played).",past tenses,1, 444 ,1200 Grammer Tests
I'm so tired of this town. I ____________ (to move) to Paris.,1,am going to move,am to move,will have to move,move,"If we have a plan, ambition or intention to do something for the future we use 'be going to’. If we choose ANSWER 1 (am going to move), we create the context about the speaker’s future intentions that have been decided but have not been fully planned (referring to the past decision) that is expressed by the construction ‘be going to’.",future tenses,1, 445 ,1200 Grammer Tests
Berlin _______________ (to found) in the 12th century.,4,founded,founds,is founded,was founded,"When we don't know who carries out the action, or it is obvious or unimportant to us, we use the Passive voice. The Passive is formed: BE + Past Participle. In this sentence the action took place at a certain time in the past, so we use the Past Simple Passive.",passive voice,1, 446 ,1200 Grammer Tests
"__________ you make me a cup of coffee, please?",3,Must,Should,Could,Might,We use the modal verb 'could' when we ask somebody to do something.,modal verbs,1, 447 ,1200 Grammer Tests
Melanie has to _________ (to go in front of) because she is the leader in her squad.,2,go on,go ahead,go up,go into,"Phrasal verbs are verbs that consist of a verb and a particle and/or a preposition. Phrasal verbs are typical of spoken English or informal writing, e.g. letters to friends and articles in popular journalism. They cannot be understood based upon the meanings of the individual parts in isolation, thus, their meanings are unpredictable. The phrasal verb 'to go ahead' means 'to be in front of'.",phrasal verbs,1, 448 ,1200 Grammer Tests
Choose  two forms of the verb 'to swim' according to the order: Past Simple - Past Participle,1,swam - swum,swam - swam,swum - swum,swum - swam,TO SWIM - SWAM - SWUM,irragular verbs,1, 449 ,1200 Grammer Tests
Jake said that he saw Jessica Alba ______ in the street.,4,yourself,itself,himself,herself,We use here 'herself' to show the importance of an object. In this sentence we mean that the fact of meeting a certain person - Jessica Alba - was very important for Jake. 'Himself' does not relate to the meaning.,pronouns,1, 450 ,1200 Grammer Tests
I think this street is ________ in the town.,3,the most short,shorter,the shortest,more short,When we compare a person or a thing with more than one person or one thing we use the superlative form of adjectives. If we use a one-syllable adjective '-est' to it.,adjective,1, 451 ,1200 Grammer Tests
The rain was falling ________.,4,heavly,heavyful,heavy,heavily,"We use adverbs to describe time, degree, manner, etc. In other words adverbs help us get more information about the action or the place (where, when, how, how often, etc.) Many adverbs are formed from adding '-ly' or '-ily' to the adjective.",adverbs,1, 452 ,1200 Grammer Tests
"The singer, ______ I like a lot, is Corey Taylor.",3,which,whose,whom,what,"What' is a question word, it cannot be used here. We use 'which' for animals and objects. 'Whose' refers to possession and 'whom' is used as an object.",relative clauses,1, 453 ,1200 Grammer Tests
Caroline should understand that she takes responsibility ____ what is happening in her work and life.,4,to,in,at,for,We should remember that some nouns are used with specific prepositions after them: 'responsibility for',noun pluse preposition,1, 454 ,1200 Grammer Tests
Mike was _____ the bus when I texted him.,2,at,on,in,to,It is correct to say 'on the bus',prepositions,1, 455 ,1200 Grammer Tests
Your jacket is similar ______ mine.,4,in,for,at,to,We should remember that some adjectives are used with specific prepositions after them: 'similar to',adjective pluse preposition,1, 456 ,1200 Grammer Tests
I can't remember all these __________ (a formula).,3,formulaes,a formula,formulae,formulais,"There are many nouns which have Greek or Latin origin. As a rule, they keep own endings: A FORMULA - TWO FORMULAE. 'Formulas' also can be used.",nouns,1, 457 ,1200 Grammer Tests
We haven't got _________ salt.,4,some,a few,many,much,"Much' is used before uncountable nouns. 'Many', 'a few' - before countable. We use 'some' in positive sentences.","some,any, a lot of , many , much ,etc..",1, 458 ,1200 Grammer Tests
If I __________ (to win) an Olympic medal I __________ (to dedicate) it to my family.,2,won/dedicated,won/would dedicate,would win/would dedicate,would win/dedicated,"When we speak about imaginary situations which differ from real facts in the present we use Conditional 2: If-clause (if + Past Simple) - Main Clause (would/could + present without 'to'). The meaning of this sentence: in reality I'm not a sportsman, I only imagine",conditionals,1, 459 ,1200 Grammer Tests
"""Dexter: """"I'll read this book next month"""".""",1,Dexter said that he would read that book the month after.,Dexter said that he would read that book next month.,Dexter said that he  read that book the month after.,Dexter said that he had read that book next month.,We change the Future Simple to the Conditional in Reported Speech: will - would. Also we change time expressions: next month - the month after,reported speech,1, 460 ,1200 Grammer Tests
Choose the sentence with the right word order,2,My husband returns usually home at 7 p.m.,My husband usually returns home  at 7 p.m.,My husband returns home  at 7 p.m. usually.,My husband returns home at usually 7 p.m.,"The adverb goes after the auxiliary verb. But if there is no auxiliary verb in the sentence, the adverb should be placed before the main verb.",word order,1, 461 ,1200 Grammer Tests
New York is  _  city in the USA.,1,a,the,—,an,We use the article 'a' with singular countable nouns when we talk about them in general.,articles,1, 462 ,1200 Grammer Tests
