№,Keyword,Suggestion,Short Vietnamese,Keyword_Sound,Image,Transcription,Explanation,Meaning_Sound,Example_Sound,Full Vietnamese,tags,deck
11,hunt,<div>h__ __ __</div>,Săn bắn,[sound:4000B1_hunt.mp3],<img src='4000B1_011.jpg'>,[hʌnt],"<div>To {{c1::hunt}} is to look for or search for an animal to kill.</div>→ &nbsp;Long ago, people {{c1::hunt}}ed with bows and arrows.",[sound:4000B1_hunt_meaning.mp3],[sound:4000B1_hunt_example.mp3],"<ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>cuộc đi săn; sự đi săn</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>cuộc lùng sục, cuộc tìm kiếm</b></font> <ul> <li><b>to find somebody after a long hunt</b>: tìm thấy ai sau khi đã đi tìm một thời gian dài</li> <li><b>to have a hunt for a job</b>: đi tìm việc làm</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đoàn người đi săn</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>khu vực săn bắn</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>săn bắn</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(+ after, gor) lùng, tìm kiếm</b></font> <ul> <li><b>to hunt for old furniture</b>: lùng mua đồ gỗ cũ</li> <li><b>to hunt for someone</b>: tìm kiếm ai</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>săn, săn đuổi</b></font> <ul> <li><b>to hunt big gam</b>: săn thú lớn</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>lùng sục để săn đuổi, lùng sục để tìm kiếm</b></font> <ul> <li><b>to hunt the whole district for game</b>: lùng sục khắp vùng để săn thú</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>dùng (ngựa, chó săn) để đi săn</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(từ Mỹ,nghĩa Mỹ) bắn (thú săn)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to hunt down</i></b></font> <ul> <li><b>dồn vào thế cùng</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>lùng sục, lùng bắt</b></font> <ul> <li><b>to hunt down a criminal</b>: lùng bắt một kẻ phạm tôi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to hunt out</i></b></font> <ul> <li><b>lùng đuổi, đuổi ra</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>tìm ra, lùng ra</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to hunt up</i></b></font> <ul> <li><b>lùng sục, tìm kiếm</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to hunt in couples</i></b></font> <ul> <li><b>(xem) couple</b></li></ul></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 01
12,lot,<div>l__ __</div>,"Mớ, lô, nhiều",[sound:4000B1_lot.mp3],<img src='4000B1_012.jpg'>,[lɔt],"<div>A {{c1::lot}} means a large number or amount of people, animals, things, etc.</div>→ &nbsp;There are a {{c1::lot}} of apples in the basket.",[sound:4000B1_lot_meaning.mp3],[sound:4000B1_lot_example.mp3],"<ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>mảnh, lô (đất)</b></font> <ul> <li><b>a lot of ground</b>: một mảnh đất, một lô đất</li> <li><b>parking lot</b>: khu đất đỗ xe, chỗ đỗ xe</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>mớ, lô; (số nhiều) rất nhiều, vô số, hàng đống, hàng đàn</b></font> <ul> <li><b>lot of woollens</b>: một lô hàng len</li> <li><b>the lot</b>: cả lô, cả mớ, cả bọn</li> <li><b>lots of friends</b>: rất nhiều bạn, hàng đống bạn</li></ul></li></ul></li></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>chia ra làm nhiều phần, chia ra làm nhiều mảnh, chia ra làm nhiều lô (đất, hàng để bán)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(từ Mỹ,nghĩa Mỹ), (thông tục) trông non, trông cậy (ở ai, cái gì)</b></font> <ul> <li><b>to lot on (upon) somebody</b>: trông mong ở ai</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>phó từ</i></b> <ul> <li><font color=""#cc0000""><b>nhiều, vô số</b></font> <ul> <li><b>I feel a lot better</b>: tôi cảm thấy khoẻ hơn nhiều</li></ul></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 01
13,middle,<div>m__ __ __ __e</div>,"giữa, ở giữa",[sound:4000B1_middle.mp3],<img src='4000B1_013.jpg'>,['mɪdl],<div>The {{c1::middle}} of something is the center or halfway point.</div>→ &nbsp;The Canadian flag has a maple leaf in the {{c1::middle}} of it.,[sound:4000B1_middle_meaning.mp3],[sound:4000B1_middle_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>middle</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>middle /'midl/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>giữa</b></font> <ul> <li><b>in the middle</b>: ở giữa</li> <li><b>right in the middle</b>: ở chính giữa</li> <li><b>in the middle of our century</b>: ở giữa thế kỷ của chúng ta</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>ở giữa, trung</b></font> <ul> <li><b>the middle finger</b>: ngón tay giữa</li> <li><b>middle age</b>: trung niên</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>the Middle Ages</i></b></font> <ul> <li><b>thời Trung cổ</b></li></ul></li></ul> <ul> <li><b>the middle class</b>: giai cấp trung gian; giai cấp tiểu tư sản</li></ul> <ul> <li><font color=""#cc0000""><b><i>Middle East</i></b></font> <ul> <li><b>Trung đông</b></li></ul></li></ul> <ul> <li><b>middle course (way)</b>: biện pháp trung dung, đường lối trung dung</li></ul></li></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>đá (bóng) từ cánh vào (khu trung lộ trước gôn)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(từ Mỹ,nghĩa Mỹ) đặt vào giữa</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>xếp đôi (lá buồm lại)</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
14,moment,<div>m__ __ __ __t</div>,"Khoảnh khắc, chốc lát",[sound:4000B1_moment.mp3],<img src='4000B1_014.jpg'>,['məumənt],<div>A {{c1::moment}} is a second or a very short time.</div>→ &nbsp;I was only a few {{c1::moment}}s late for the meeting.,[sound:4000B1_moment_meaning.mp3],[sound:4000B1_moment_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>moment /'moumənt/</i><br /> <ul> <li><b><i>danh từ ((thông tục) (cũng) mo)</i></b> <ul> <li><font color=""#cc0000""><b>chốc, lúc, lát</b></font> <ul> <li><b>wait a moment</b>: đợi một lát</li> <li><b>at any moment</b>: bất cứ lúc nào</li> <li><b>the [very] moment [that]</b>: ngay lúc mà</li> <li><b>at the moment</b>: lúc này, bây giờ</li> <li><b>at that moment</b>: lúc ấy, lúc đó</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>tầm quan trọng, tính trọng yếu</b></font> <ul> <li><b>an affair of great moment</b>: một việc đó có tầm quan trọng lớn</li> <li><b>a matter of moment</b>: một vấn đề quan trọng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(kỹ thuật), (vật lý) Mômen</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
15,pleased,<div>p__ __ __ __ __d</div>,Hài lòng,[sound:4000B1_pleased.mp3],<img src='4000B1_015.jpg'>,[pliːzd],"<div>When someone is {{c1::pleased}}, they are happy.</div>→ &nbsp;She was {{c1::pleased}} with the phone call she received.",[sound:4000B1_pleased_meaning.mp3],[sound:4000B1_pleased_example.mp3],"<div style=""WIDTH: 100%; OVERFLOW-X: hidden""> <div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>pleased</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>pleased</i><br /> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>hài lòng (thể hiện sự thoả mãn về ai/cái gì)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(+to do something) sẵn lòng, vui mừng, vui vẻ được làm cái gì</b></font></li></ul></li></ul></div></div>",,4000 Essential English Words - Book 1::Unit 01
16,promise,<div>p__ __ __ __ __e</div>,"Hứa hẹn, lời hứa",[sound:4000B1_promise.mp3],<img src='4000B1_016.jpg'>,['prɔmɪs],<div>To {{c1::promise}} is to say you will do something for sure.</div>→ &nbsp;He {{c1::promised}} to return my key by tomorrow.,[sound:4000B1_promise_meaning.mp3],[sound:4000B1_promise_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>promise</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>promise /promise/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>lời hứa, điều hứa, điều hẹn ước; sự hứa hẹn</b></font> <ul> <li><b>to keep to one's promise</b>: giữ lời hứa</li> <li><b>to break one's promise</b>: không giữ lời hứa, bội ước</li> <li><b>promise of marriage</b>: sự hứa hôn</li> <li><b>empty promise</b>: lời hứa hão, lời hứa suông</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(nghĩa bóng) triển vọng, hứa hẹn</b></font> <ul> <li><b>a young man of promise</b>: một thanh niên có triển vọng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>land of promise</i></b></font> <ul> <li><b>chốn thiên thai, nơi cực lạc</b></li></ul></li></ul></li></ul> <ul> <li><b><i>động từ</i></b> <ul> <li><font color=""#cc0000""><b>hứa, hứa hẹn, hẹn ước</b></font> <ul> <li><b>to promise someone something; to promise something to someone</b>: hứa hẹn ai việc gì</li> <li><b>this year promises good crops</b>: năm nay hứa hẹn được mùa</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>làm cho hy vọng; báo hiệu, báo trước</b></font> <ul> <li><b>the clouds promise rain</b>: mây nhiều báo hiệu trời mưa</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(thông tục) đảm bảo, cam đoan</b></font> <ul> <li><b>I promise you, it will not be so easy</b>: tôi cam đoan với anh, chuyện ấy sẽ không dễ thế đâu</li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
17,reply,<div>r__ __ __ __&nbsp;</div><div>r__ __ __ __ __d</div>,"<font style="""">đáp lại, t</font>rả &nbsp;lời",[sound:4000B1_reply.mp3],<img src='4000B1_017.jpg'>,[rɪ'plaɪ],"<div>To {{c1::reply}} is to give an answer or say back to someone.</div>→ &nbsp;She asked him what time his meeting was. He {{c1::replied}}, “at three.”",[sound:4000B1_reply_meaning.mp3],[sound:4000B1_reply_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>reply /ri'plai/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>câu trả lời, lời đáp</b></font> <ul> <li><b>in reply to your letter</b>: để trả lời thư của ông</li> <li><b>to say in reply</b>: đáp lại</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>động từ</i></b> <ul> <li><font color=""#cc0000""><b>trả lời, đáp lại</b></font> <ul> <li><b>to reply for somebody</b>: trả lời thay cho ai</li> <li><b>to reply to the enemy's fire</b>: bắn trả quân địch</li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
18,safe,<div>s__ __ __</div>,An toàn,[sound:4000B1_safe.mp3],<img src='4000B1_018.jpg'>,[seɪf],"<div>When a person is {{c1::safe}}, they are not in danger.</div>→ &nbsp;Put on your seat belt in the car to be {{c1::safe}}.",[sound:4000B1_safe_meaning.mp3],[sound:4000B1_safe_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>safe /seif/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>chạn (đựng đồ ăn)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>tủ sắt, két bạc</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>an toàn, chắc chắn</b></font> <ul> <li><b>to feel safe</b>: cảm thấy an toàn</li> <li><b>to see somebody safe home</b>: đưa người nào về nhà an toàn</li> <li><b>to be safe from the enemy</b>: chắc chắn không bị địch tấn công</li> <li><b>to put something in a safe place</b>: để vật gì vào một nơi chắc chắn</li> <li><b>to be on the safe side</b>: để cho chắc chân</li> <li><b>it is safe to say that</b>: có thể nói một cách chắc rằng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>có thể tin cậy, chắc chắn</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>thận trọng, dè dặt</b></font> <ul> <li><b>a safe critic</b>: một nhà phê bình thận trọng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>safe and sound</i></b></font> <ul> <li><b>bình an vô sự</b></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
19,trick,<div>t__ __ __k</div>,"Mẹo, thủ thuật",[sound:4000B1_trick.mp3],<img src='4000B1_019.jpg'>,[trɪk],<div>A {{c1::trick}} is something you do to fool another person.</div>→ &nbsp;His card {{c1::trick}} really surprised us.,[sound:4000B1_trick_meaning.mp3],[sound:4000B1_trick_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>trick /trik/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>mưu mẹo, thủ đoạn đánh lừa; trò gian trá, trò bịp bợm</b></font> <ul> <li><b>the trick took him in completely</b>: nó hoàn toàn bị mắc mưu</li> <li><b>there must be some trick about it</b>: có cái gì gian trá bịp bợm trong đó</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>trò chơi khăm, trò choi xỏ; trò ranh ma, trò tinh nghịch</b></font> <ul> <li><b>to be up to one's old tricks again</b>: lại dở những trò xỏ lá</li> <li><b>to play a trick on someone</b>: xỏ chơi ai một vố</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>ngón, đòn, phép, mánh khoé, mánh lới nhà nghề</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>trò, trò khéo</b></font> <ul> <li><b>conjuring trick</b>: trò nhanh tay, trò ảo thuật</li> <li><b>to teach a dog tricks</b>: dạy cho làm trò</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>thói, tật</b></font> <ul> <li><b>the has the trick of using slangs</b>: nó có cái tật hay dùng tiếng lóng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>nước bài</b></font> <ul> <li><b>to take (win) a trick</b>: được ăn một nước bài</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(hàng hải) phiên làm việc ở buồng lái</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to be up to a trick or two</i></b></font> <ul> <li><b>khôn ngoan, láu, đủ ngón, có tài xoay xở</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>I don't know the trick of it</i></b></font> <ul> <li><b>tôi không biết mẹo</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to know a trick worth two of that</i></b></font> <ul> <li><b>biết một ngón hay hơn</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>that will do the trick</i></b></font> <ul> <li><b>(thông tục) cứ thế là ăn tiền đấy</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>tricks of fortune</i></b></font> <ul> <li><b>những trò trở trêu của số mệnh</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>whole bag of tricks</i></b></font> <ul> <li><b>(xem) bag</b></li></ul></li></ul></li></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>lừa, đánh lừa, lừa gạt</b></font> <ul> <li><b>to trick someone into doing something</b>: lừa ai làm gì</li> <li><b>to trick someone out of something</b>: lừa gạt ai lấy cái gì</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to trick out (up)</i></b></font> <ul> <li><b>trang điểm, trang sức</b></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
20,well,<div>w__ __ __</div>,"Tốt, được",[sound:4000B1_well.mp3],<img src='4000B1_020.jpg'>,[wel],<div>You use {{c1::well}} to say that something was done in a good way.</div>→ &nbsp;The couple can dance quite {{c1::well}}.,[sound:4000B1_well_meaning.mp3],[sound:4000B1_well_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>well /wel/</i><br /> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>(+ up, out, forth) phun ra, vọt ra, tuôn ra (nước, nước mắt, máu)</b></font> <ul> <li><b>tears welled from he eyes; tears welled up in her eyes</b>: nước mắt cô ta tuôn ra</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>phó từ better; best</i></b> <ul> <li><font color=""#cc0000""><b>tốt, giỏi, hay</b></font> <ul> <li><b>to work well</b>: làm việc giỏi</li> <li><b>to sing well</b>: hát hay</li> <li><b>to sleep well</b>: ngủ tốt (ngon)</li> <li><b>very well</b>: tốt lắm, hay lắm, giỏi lắm, được lắm</li> <li><b>to treat someone well</b>: đối xử tốt với ai</li> <li><b>to think well of someone</b>: nghĩ tốt về ai</li> <li><b>to speak well of someone</b>: nói tốt về ai</li> <li><b>to stand well with someone</b>: được ai quý mến</li> <li><b>well done!</b>: hay lắm! hoan hô!</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>phong lưu, sung túc</b></font> <ul> <li><b>to live well in...</b>: sống sung túc (phong lưu) ở...</li> <li><b>to do well</b>: làm ăn khấm khá phát đạt</li> <li><b>to be well off</b>: phong lưu, sung túc</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>hợp lý, chính đáng, phi, đúng</b></font> <ul> <li><b>you may well say so</b>: anh có thể nói như thế được lắm</li> <li><b>he did well to return it</b>: nó đem tr lại cái đó là phi lắm</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>nhiều</b></font> <ul> <li><b>to stir well</b>: xáo động nhiều</li> <li><b>to be well on in life</b>: không còn trẻ nữa, đ luống tuổi rồi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>kỹ, rõ, sâu sắc</b></font> <ul> <li><b>to know someone well</b>: biết rõ ai</li> <li><b>rub it well</b>: h y cọ thật kỹ cái đó</li> <li><b>the aggressors ought to be well beaten before they give up their scheme</b>: phi đánh cho bọn xâm lược một</li>trận nên thân trước khi chúng từ bỏ âm mưu</ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>as well</i></b></font> <ul> <li><b>cũng, cũng được, không hại gì</b></li></ul></li></ul> <ul> <li><b>you can take him as well</b>: anh có thể đưa nó đi với</li></ul> <ul> <li><b>you may as well begin at once</b>: anh có thể bắt đầu ngay cũng được</li></ul> <ul> <li><font color=""#cc0000""><b><i>as well as</i></b></font> <ul> <li><b>như, cũng như, chẳng khác gì</b></li></ul></li></ul> <ul> <li><b>by day as well as by night</b>: ngày cũng như đêm</li></ul> <ul> <li><font color=""#cc0000""><b>và còn thêm</b></font> <ul> <li><b>we gave him money as well as food</b>: chúng tôi cho nó tiền và còn thêm cái ăn nữa</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>pretty well</i></b></font> <ul> <li><b>hầu như</b></li></ul></li></ul></li></ul> <ul> <li><b><i>tính từ better; best</i></b> <ul> <li><font color=""#cc0000""><b>tốt; tốt lành</b></font> <ul> <li><b>things are well with you</b>: anh được mọi sự tốt lành; mọi việc của anh đều ổn c</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>tốt, hay, đúng lúc, hợp thời, nên, cần</b></font> <ul> <li><b>it's well that you have come</b>: anh đến thật là tốt</li> <li><b>it would be well to start early</b>: có lẽ nên ra đi sớm</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>khoẻ, mạnh khoẻ, mạnh giỏi</b></font> <ul> <li><b>to feel quite well</b>: cm thấy rất khoẻ</li> <li><b>to get well</b>: đ khỏi (người ốm)</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>may, may mắn</b></font> <ul> <li><b>it was well for him that nobody saw him</b>: may mà không ai thấy nó</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>it's (that's) all very well but...</i></b></font> <ul> <li><b>(mỉa mai) hay đấy, nhưng...</b></li></ul></li></ul></li></ul> <ul> <li><b><i>thán từ</i></b> <ul> <li><font color=""#cc0000""><b>quái, lạ quá</b></font> <ul> <li><b>well, who would have thought it would happen?</b>: quái!, ai nào có tưởng là việc ấy có thể xy ra được?</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đấy, thế đấy</b></font> <ul> <li><b>well, here we are at last</b>: đấy, cuối cùng chúng ta đ đến đây</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>thế nào, sao</b></font> <ul> <li><b>well what about it?</b>: thế nào, về điểm ấy thì nghĩ sao?</li> <li><b>well then?</b>: rồi sao?</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>thôi, thôi được, thôi nào; nào nào; thôi thế là</b></font> <ul> <li><b>well, such is life!</b>: thôi, đời là thế well</li> <li><b>wellm it may be true!</b>: thôi được, điều đó có thể đúng!</li> <li><b>well, well!, don't cry!</b>: thôi nào đừng khóc nữa!</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>được, ừ</b></font> <ul> <li><b>very well!</b>: được!, ừ!, tốt quá!</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>vậy, vậy thì</b></font> <ul> <li><b>well, as I was saying...</b>: vậy, như tôi vừa nói, ...</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>điều tốt, điều hay, điều lành, điều thiện</b></font> <ul> <li><b>to wish someone well</b>: chúc ai gặp điều tốt lành</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to let well alone</i></b></font> <ul> <li><b>đ tốt rồi không phi xen vào nữa; đừng có chữa lợn lành thành lợn què</b></li></ul></li></ul></li></ul> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>giếng (nước, dầu...)</b></font> <ul> <li><b>to bore a well</b>: khoan giếng</li> <li><b>to sink a well</b>: đào giếng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(nghĩa bóng) nguồn (cm hứng, hạnh phúc)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(kiến trúc) lồng cầu thang</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>lọ (mực)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(hàng hi) khoang cá (trong thuyền đánh cá); buồng máy bm (trên tàu)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>chỗ ngồi của các luật sư (toà án)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(hàng không) chỗ phi công ngồi</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(địa lý,địa chất) nguồn nước, suối nước</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(ngành mỏ) hầm, lò</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 01
21,adventure,<div>a__ __ __ __ __ __ __e</div>,"phiêu lưu, mạo hiểm",[sound:4000B1_adventure.mp3],<img src='4000B1_021.jpg'>,[əd'venʧə],<div>An {{c1::adventure}} is a fun or exciting thing that you do.</div>→ &nbsp;Riding in the rough water was an {{c1::adventure}}.,[sound:4000B1_adventure_meaning.mp3],[sound:4000B1_adventure_example.mp3],"<ul> <li><b><i>động từ</i></b> <ul> <li><font color=""#cc0000""><b>phiêu lưu, mạo hiểm, liều</b></font> <ul> <li><b>to adventure to do something</b>: liều làm việc gì</li> <li><b>to adventure one's life</b>: liều mạng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>dám đi, dám đến (nơi nào...)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>dám tiến hành (cuộc kinh doanh...)</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>sự phiêu lưu, sự mạo hiểm; việc làm mạo hiểm, việc làm táo bạo</b></font> <ul> <li><b>stories of adventures</b>: những truyện phiêu lưu</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>sự nguy hiểm, sự hiểm nghèo</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>sự việc bất ngờ</b></font> <ul> <li><b>to meet with an adventure gặp</b>: một sự việc bất ngờ</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>sự may rủi, sự tình cờ</b></font> <ul> <li><b>if, by adventure,you come across him</b>: nếu tình cờ anh có gặp hắn</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(thương nghiệp) sự đầu cơ</b></font></li></ul></li></ul>",,4000 Essential English Words - Book 1::Unit 02
